转移性去势抵抗性前列腺癌的恩杂鲁胺耐药
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13

婴儿B群链球菌疾病预防指南更新
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16


黑种人理发店可帮助顾客降血压
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14


内科患者应用阿哌沙班和依诺肝素预防血栓形成的比较
zh	en
1	1
2	2
3	3
4	4
5	5
6,7	6
8	7
9	8
10	9
11	omitted
12	omitted
13	omitted
14	omitted
15	omitted
16	10
17	11
18	12
19	13
20	omitted
21 	omitted 
22	omitted
23	14
24	15
25	16,17
26	omitted
27	omitted
28	18
29	19
30	20
31	21
32	22
33	23
34	24
35	25
36	26
37	27
38	28
39	29
40	30
41	31
42	32
43	33
44	34
45	35
46	36
47	37
48	38
49	39
50	40
51	41
52	42
53	43
54	44
55	45
56	46
57	47
58	48
59	49
60	50
61	51
62	52
63	53
64	54
65	55
66	56
67	57
68	58
69	59
70	60
71	61
72	62
73	63
74	64
75	65
76	66
77	67
78	68
79	69
80	70
81	71
82	72
83	73
84	74
85	75
86	76
87	77
88	78
89	79
90	80
91	81
92	82
93	83
94	84
95	85
96	86
97	87
98	88
99	89
100	90
101	91
102	92
103	93
104	94
105	95
106	96
107	omitted
108	97
109	98
110	99
111	100
112	101
113	102
114	103
115	104
116	105
117	106
118	107
119	108
120 109
121	110
122	111
123	112
124	113
125	114
126	115
127	116
128	117
129	118
130	119
131	120
132	121
133	122
134	123
135	124
136	125
137	126
138	127
139	128
140	129
141	130
142	131
143	132
144	133
145	134
145	135
omitted 136
omitted 137


尼拉帕尼用于铂类敏感型复发性卵巢癌的维持治疗
zh	en
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13,14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	26,27
26	28
27	29
28	30
29	31
30	32
31	33
32	34
33	35
34	36
35	37
36	38
37	39
38	40
39	41
40	42
41	43
42	44
43	45
44	46
45,46	47,48,49
47	50
48	51
49	52,53
50	54
51	55
52	56
53	57
54	58
55	59
56	60
57	61
58	62
59	63,64
60	65
61	66
62	67
63	68
64	69
65	70
66	71
67	72
68	73
69	74
70	75
71	76
72	77
73	78
74	79
75	80
76	81
77	82
78	83
79	84
80	85
81	86
82	87
83	88
84	89
85	90
86	91
87	92
88	93
89	94
90	95
91	96
92	97
93	98
94	99
95	100
96	101
97	102
omitted	103
omitted	104
omitted	105
omitted	106
98	107
99	108
100	109
101	110
102	111
103	112
104	113
105	114
106	115
107	116
108	117
109	118
110	119
111	120
112	121
113	122
114	123
115	124
116	125
117	126
118	127
119	128
120	129
121	130
122	131
123	132
124	133
125	134
126	135
127	136
128	137
129	138
130	139
131	140
132	141
133	142
134	143
135	144
136	145
137	146
138	147,148



膀胱切除术的最佳手术方法：开放式手术与机器人辅助手术的比较
zh	en
omitted 1
omitted 2
1	3
2	4
3	5
4	6
5	7
6	8
7	9
8	10
9	11
10	12


1型糖尿病患者胰岛素治疗中加用sotagliflozin的效果
zh	en
1	1
2	2
3	3
4,5	4
6	5
7,8	6
9	7
10	8
11	9
12	10
13	11
14	12
15	13
16	14
17	15
18	16
19	17,18
omitted	19
omitted 20
20	21
21	23
22	23
23	24
24	25
25	26
26	27
27	28
28	29
29	30
30,31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50,51
51	52
52	53
53	54
54,55	55
56	56,57
57	58
58	59
59	60
60	61
61	62
62	63
63	64
64	65
65	66
66	67
67	68
68	69
69	70
70	71,72
71	73
72	74
73	75
74	76
75	77
76	78
77	79
78	80
79	81
80	82
81	83
82	84
83	85,86
84	87
85	88
86	89
87	90
88	91,92
89	93
90	94
91	95
92	96
93	97
94	98
95	99,100
96,97	101
98	102
99	103,104
100	105
101	106
102	107
103	108
104	109,110
105	111
106	112
107	113
108	114
109	115
110	116
111	117
112	118
113	119
114	120
115	121
116	122
117	123
118	124
119	125
120	126
121	127
122	128
123	129
124	130
125	131
126	132
127	133
128	134
129	135
130	136
131	137
132	138
133	139
134	140
135	141
136	142
137	143
138	144
139	145
140	146
141	147
142	148
